timestamp(s),nodeId,src,dst,seq,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded
423.600487415,7,4,7,94,63,0,0,0,0,12,3879.223893277,0.997742771,0
424.098559366,3,7,1,83,63,0,0,0,0,12,3876.028200994,0.996920834,1
424.238336201,1,7,1,83,62,1,0,0,0,12,3877.379428515,0.997268372,0
425.098559121,6,7,6,84,63,0,0,0,0,12,3876.254107366,0.996978937,0
426.795330447,3,6,2,124,63,0,0,0,0,12,3875.759250080,0.996851659,1
426.899494844,2,5,2,118,63,0,0,0,0,12,3879.906998222,0.997918467,0
427.098559366,3,7,1,86,63,0,0,0,0,12,3875.691177957,0.996834151,1
427.238336201,1,7,1,86,62,1,0,0,0,12,3877.162792242,0.997212652,0
427.625837183,6,1,6,120,63,0,0,0,0,12,3876.095014611,0.996938018,0
427.899495089,1,5,1,119,63,0,0,0,0,12,3877.092658442,0.997194614,0
428.365923748,7,3,7,121,63,0,0,0,0,12,3878.875562229,0.997653180,0
429.098559121,4,7,4,88,63,0,0,0,0,12,3877.689432090,0.997348105,0
429.343628029,5,8,0,99,63,0,0,0,0,12,3875.224012946,0.996713995,1
429.795331038,0,6,0,127,63,0,0,0,0,12,3876.889942777,0.997142475,0
430.098559366,3,7,3,89,63,0,0,0,0,12,3875.393170579,0.996757503,0
430.365923503,6,3,6,123,63,0,0,0,0,12,3875.833755259,0.996870822,0
431.098559123,8,7,8,90,63,0,0,0,0,12,3877.409195832,0.997276028,0
431.343628029,5,8,5,101,63,0,0,0,0,12,3874.947190848,0.996642796,0
431.365923503,6,3,5,124,63,0,0,0,0,12,3875.755727442,0.996850753,1
431.795330447,3,6,3,129,63,0,0,0,0,12,3875.222073125,0.996713496,0
432.098559366,3,7,1,91,63,0,0,0,0,12,3875.214384234,0.996711519,1
432.098559712,1,7,1,91,63,0,0,0,0,12,3876.748728793,0.997106155,0
433.098559121,6,7,6,92,63,0,0,0,0,12,3875.540828595,0.996795481,0
433.899495089,1,5,1,125,63,0,0,0,0,12,3876.611646648,0.997070897,0
434.098559712,1,7,1,93,63,0,0,0,0,12,3876.604557744,0.997069073,0
434.899495089,1,5,1,126,63,0,0,0,0,12,3876.533618831,0.997050828,0
435.098559123,8,7,8,94,63,0,0,0,0,12,3877.111370747,0.997199427,0
435.343628029,5,8,2,105,63,0,0,0,0,12,3874.646964165,0.996565577,1
435.365923503,6,3,8,128,63,0,0,0,0,12,3875.383232942,0.996754947,1
435.795330447,7,6,7,133,63,0,0,0,0,12,3878.363586341,0.997521499,0
436.098559366,3,7,1,95,63,0,0,0,0,12,3874.856175917,0.996619387,1
437.098559121,6,7,0,96,63,0,0,0,0,12,3875.162391803,0.996698146,1
438.098559121,4,7,4,97,63,0,0,0,0,12,3877.025237089,0.997177273,0
438.343628029,5,8,5,108,63,0,0,0,0,12,3874.364382067,0.996492897,0
439.600487660,6,4,6,110,63,0,0,0,0,12,3874.937119536,0.996640206,0
440.098559121,6,7,6,99,63,0,0,0,0,12,3874.867925120,0.996622409,0
440.343628029,5,8,2,110,63,0,0,0,0,12,3874.220211018,0.996455816,1
440.365923503,6,3,6,133,63,0,0,0,0,12,3874.860442809,0.996620484,0
440.899495574,0,5,0,132,63,0,0,0,0,12,3876.092861325,0.996937464,0
441.098559121,6,7,6,100,63,0,0,0,0,12,3874.789897303,0.996602340,0
441.343628029,5,8,1,111,63,0,0,0,0,12,3874.075857677,0.996418688,1
442.795331038,0,6,1,140,63,0,0,0,0,12,3875.955232556,0.996902066,1
443.098559366,5,7,5,102,63,0,0,0,0,12,3873.866772699,0.996364911,0
