timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
392.655553857,6,0,0,1,1,5,USED
392.759718254,5,7,8,2,3,6,USED
392.958782531,7,0,5,2,2,6,USED
393.203851437,8,7,7,1,1,6,USED
393.226146913,3,5,8,2,3,6,USED
393.241123005,0,5,7,2,2,4,USED
393.366040199,2,6,4,2,2,5,USED
393.460710825,4,8,8,1,1,6,USED
393.486059863,1,0,3,2,2,5,USED
393.655553857,6,5,7,2,2,6,USED
393.759718254,5,8,8,1,2,6,USED
393.958782531,7,3,3,1,1,5,USED
394.203851437,8,7,7,1,1,6,USED
394.226146913,3,8,8,1,2,6,USED
394.241123005,0,4,4,1,1,5,USED
394.366040199,2,8,5,2,3,5,USED
